time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388980354715,13,16626.559999999998,,0.03125,118,0
388980354971,13,16626.559999999998,,0.0390625,118,0
388980355227,13,16626.559999999998,,0.01953125,118,0
388980355483,13,16626.559999999998,,0.015625,119,0
388980355739,13,16626.559999999998,,0.03125,119,0
388980355995,13,14979.84,,0.01953125,119,0
388980356251,13,14979.84,,0.01953125,119,0
388980356507,13,14979.84,,0.03125,119,0
388980356763,13,16666.399999999998,,0.078125,120,0
388980357019,13,16666.399999999998,,0.06640625,121,0
388980357275,13,16666.399999999998,,0.0234375,121,0
388980357531,14,16666.399999999998,,0.0234375,121,0
388980357787,14,16666.399999999998,,0.03515625,121,0
388980358043,14,16666.399999999998,,0.0390625,120,0
388980358299,13,16666.399999999998,,0.015625,120,0
388980358555,13,16666.399999999998,,0.03125,119,0
388980358811,13,16666.399999999998,,0.08203125,119,0
388980359067,13,14940.0,,0.06640625,119,0
388980359323,13,14940.0,,0.02734375,119,0
388980359579,12,14940.0,,0.046875,119,0
388980359835,12,14940.0,,0.0390625,119,0
388980360091,12,14940.0,,0.046875,117,0
388980360347,12,15909.439999999999,,0.0859375,117,0
388980360603,13,15909.439999999999,,0.1015625,117,0
388980360859,13,15909.439999999999,,0.078125,114,0
388980361115,13,15909.439999999999,,0.0390625,114,0
388980361371,13,15909.439999999999,,0.08984375,112,0
388980361627,13,15909.439999999999,,0.0625,112,0
388980361883,13,14342.4,,0.046875,110,0
388980362139,13,14342.4,,0.05859375,109,0
388980362395,12,14342.4,,0.03125,107,0
388980362651,12,14342.4,,0.01953125,106,0
388980362907,12,14342.4,,0.01953125,106,0
388980363163,12,14342.4,,0.0234375,106,0
388980363419,12,14342.4,,0.0234375,105,0
388980363675,12,13824.48,,0.0234375,104,0
388980363931,11,13824.48,,0.015625,104,0
